--2020-07-24 04:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
 22600K .......... .......... .......... .......... .......... 22% 89.8M 3s
 22650K .......... .......... .......... .......... .......... 22%  128M 3s
 22700K .......... .......... .......... .......... .......... 22%  162M 3s
 22750K .......... .......... .......... .......... .......... 22%  114M 3s
 22800K .......... .......... .......... .......... .......... 22%  107M 3s
 22850K .......... .......... .......... .......... .......... 22%  119M 3s
 22900K .......... .......... .......... .......... .......... 22%  115M 3s
 22950K .......... .......... .......... .......... .......... 22%  111M 3s
 23000K .......... .......... .......... .......... .......... 22%  107M 3s
 23050K .......... .......... .......... .......... .......... 22% 91.1M 3s
 23100K .......... .......... .......... .......... .......... 22%  143M 3s
 23150K .......... .......... .......... .......... .......... 22% 99.1M 3s
 23200K .......... .......... .......... .......... .......... 22%  126M 3s
 23250K .......... .......... .......... .......... .......... 22%  115M 3s
 23300K .......... .......... .......... .......... .......... 22%  114M 3s
 23350K .......... .......... .......... .......... .......... 22% 96.1M 3s
 23400K .......... .......... .......... .......... .......... 22%  122M 3s
 23450K .......... .......... .......... .......... .......... 22%  102M 3s
 23500K .......... .......... .......... .......... .......... 22%  119M 3s
 23550K .......... .......... .......... .......... .......... 23% 2.72M 3s
 23600K .......... .......... .......... .......... .......... 23%  138M 3s
 23650K .......... .......... .......... .......... .......... 23%  108M 3s
 23700K .......... .......... .......... .......... .......... 23%  104M 3s
 23750K .......... .......... .......... .......... .......... 23%  125M 3s
 23800K .......... .......... .......... .......... .......... 23%  107M 3s
 23850K .......... .......... .......... .......... .......... 23%  112M 3s
 23900K .......... .......... .......... .......... .......... 23%  116M 3s
 23950K .......... .......... .......... .......... .......... 23%  114M 3s
 24000K .......... .......... .......... .......... .......... 23%  109M 3s
 24050K .......... .......... .......... .......... .......... 23%  103M 3s
 24100K .......... .......... .......... .......... .......... 23%  113M 3s
 24150K .......... .......... .......... .......... .......... 23%  101M 3s
 24200K .......... .......... .......... .......... .......... 23%  117M 3s
 24250K .......... .......... .......... .......... .......... 23%  120M 3s
 24300K .......... .......... .......... .......... .......... 23%  121M 3s
 24350K .......... .......... .......... .......... .......... 23%  101M 3s
 24400K .......... .......... .......... .......... .......... 23%  116M 3s
 24450K .......... .......... .......... .......... .......... 23%  109M 3s
 24500K .......... .......... .......... .......... .......... 23%  109M 3s
 24550K .......... .......... .......... .......... .......... 24%  134M 3s
 24600K .......... .......... .......... .......... .......... 24%  111M 3s
 24650K .......... .......... .......... .......... .......... 24%  108M 3s
 24700K .......... .......... .......... .......... .......... 24%  104M 3s
 24750K .......... .......... .......... .......... .......... 24%  111M 3s
 24800K .......... .......... .......... .......... .......... 24%  118M 3s
 24850K .......... .......... .......... .......... .......... 24%  114M 3s
 24900K .......... .......... .......... .......... .......... 24% 88.9M 3s
 24950K .......... .......... .......... .......... .......... 24%  124M 3s
 25000K .......... .......... .......... .......... .......... 24%  117M 3s
 25050K .......... .......... .......... .......... .......... 24% 3.85M 3s
 25100K .......... .......... .......... .......... .......... 24%  151M 3s
 25150K .......... .......... .......... .......... .......... 24%  124M 3s
 25200K .......... .......... .......... .......... .......... 24%  106M 3s
 25250K .......... .......... .......... .......... .......... 24%  112M 3s
 25300K .......... .......... .......... .......... .......... 24%  113M 3s
 25350K .......... .......... .......... .......... .......... 24%  115M 3s
 25400K .......... .......... .......... .......... .......... 24%  113M 3s
 25450K .......... .......... .......... .......... .......... 24%  106M 3s
 25500K .......... .......... .......... .......... .......... 24%  110M 3s
 25550K .......... .......... .......... .......... .......... 25%  100M 3s
 25600K .......... .......... .......... .......... .......... 25% 97.3M 3s
 25650K .......... .......... .......... .......... .......... 25%  115M 3s
 25700K .......... .......... .......... .......... .......... 25%  144M 3s
 25750K .......... .......... .......... .......... .......... 25%  108M 3s
 25800K .......... .......... .......... .......... .......... 25%  111M 3s
 25850K .......... .......... .......... .......... .......... 25%  109M 3s
 25900K .......... .......... .......... .......... .......... 25%  115M 3s
 25950K .......... .......... .......... .......... .......... 25% 95.6M 3s
 26000K .......... .......... .......... .......... .......... 25%  105M 3s
 26050K .......... .......... .......... .......... .......... 25% 88.7M 3s
 26100K .......... .......... .......... .......... .......... 25%  199M 3s
 26150K .......... .......... .......... .......... .......... 25%  112M 3s
 26200K .......... .......... .......... .......... .......... 25%  124M 3s
 26250K .......... .......... .......... .......... .......... 25%  100M 2s
 26300K .......... .......... .......... .......... .......... 25%  120M 2s
 26350K .......... .......... .......... .......... .......... 25%  114M 2s
 26400K .......... .......... .......... .......... .......... 25%  111M 2s
 26450K .......... .......... .......... .......... .......... 25% 97.9M 2s
 26500K .......... .......... .......... .......... .......... 25%  128M 2s
 26550K .......... .......... .......... .......... .......... 25% 2.71M 3s
 26600K .......... .......... .......... .......... .......... 26%  217M 3s
 26650K .......... .......... .......... .......... .......... 26%  117M 3s
 26700K .......... .......... .......... .......... .......... 26%  118M 2s
 26750K .......... .......... .......... .......... .......... 26%  111M 2s
 26800K .......... .......... .......... .......... .......... 26%  115M 2s
 26850K .......... .......... .......... .......... .......... 26%  113M 2s
 26900K .......... .......... .......... .......... .......... 26%  105M 2s
 26950K .......... .......... .......... .......... .......... 26%  114M 2s
 27000K .......... .......... .......... .......... .......... 26%  105M 2s
 27050K .......... .......... .......... .......... .......... 26%  110M 2s
 27100K .......... .......... .......... .......... .......... 26%  123M 2s
 27150K .......... .......... .......... .......... .......... 26%  109M 2s
 27200K .......... .......... .......... .......... .......... 26%  110M 2s
 27250K .......... .......... .......... .......... .......... 26%  101M 2s
 27300K .......... .......... .......... .......... .......... 26%  132M 2s
 27350K .......... .......... .......... .......... .......... 26% 93.5M 2s
 27400K .......... .......... .......... .......... .......... 26%  121M 2s
 27450K .......... .......... .......... .......... .......... 26%  118M 2s
 27500K .......... .......... .......... .......... .......... 26%  107M 2s
 27550K .......... .......... .......... .......... .......... 26%  114M 2s
 27600K .......... .......... .......... .......... .......... 27%  115M 2s
 27650K .......... .......... .......... .......... .......... 27%  118M 2s
 27700K .......... .......... .......... .......... .......... 27% 92.2M 2s
 27750K .......... .......... .......... .......... .......... 27%  144M 2s
 27800K .......... .......... .......... .......... .......... 27%  109M 2s
 27850K .......... .......... .......... .......... .......... 27%  106M 2s
 27900K .......... .......... .......... .......... .......... 27%  124M 2s
 27950K .......... .......... .......... .......... .......... 27%  104M 2s
 28000K .......... .......... .......... .......... .......... 27% 3.78M 2s
 28050K .......... .......... .......... .......... .......... 27%  928M 2s
 28100K .......... .......... .......... .......... .......... 27%  121M 2s
 28150K .......... .......... .......... .......... .......... 27%  107M 2s
 28200K .......... .......... .......... .......... .......... 27%  111M 2s
 28250K .......... .......... .......... .......... .......... 27% 97.4M 2s
 28300K .......... .......... .......... .......... .......... 27%  151M 2s
 28350K .......... .......... .......... .......... .......... 27%  110M 2s
 28400K .......... .......... .......... .......... .......... 27% 99.0M 2s
 28450K .......... .......... .......... .......... .......... 27%  132M 2s
 28500K .......... .......... .......... .......... .......... 27%  104M 2s
 28550K .......... .......... .......... .......... .......... 27%  103M 2s
 28600K .......... .......... .......... .......... .......... 27%  120M 2s
 28650K .......... .......... .......... .......... .......... 28%  116M 2s
 28700K .......... .......... .......... .......... .......... 28%  115M 2s
 28750K .......... .......... .......... .......... .......... 28%  102M 2s
 28800K .......... .......... .......... .......... .......... 28%  128M 2s
 28850K .......... .......... .......... .......... .......... 28%  107M 2s
 28900K .......... .......... .......... .......... .......... 28%  113M 2s
 28950K .......... .......... .......... .......... .......... 28%  108M 2s
 29000K .......... .......... .......... .......... .......... 28%  112M 2s
 29050K .......... .......... .......... .......... .......... 28%  109M 2s
 29100K .......... .......... .......... .......... .......... 28%  123M 2s
 29150K .......... .......... .......... .......... .......... 28%  101M 2s
 29200K .......... .......... .......... .......... .......... 28%  126M 2s
 29250K .......... .......... .......... .......... .......... 28%  106M 2s
 29300K .......... .......... .......... .......... .......... 28%  113M 2s
 29350K .......... .......... .......... .......... .......... 28%  119M 2s
